Name BD;Total Nb of Images;Nb of triplets (train) ;IsDiffFaces;Crop Value;Db_Train;With Pretraining;NbEpoches;BS;WD;LR; Archit;Optimizer; LossType - Weighted Classes;Loss1;Loss2;Loss3;f1_score1;f1_score2;f1_score3;best_f1_score;best_epoch;f1_pos_valid;f1_neg_valid;f1_test;training_time ;all_losses;all_f1
ds_0123456;;8788;True;28;No Specification;No;100;32;1;1;3def_batchNorm;Adam;cross_entropy False;1.02593994140625;1.4785494804382324;1.1189171075820923;73.0;78.0;81.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;No;100;32;1;1;2def_drop;Adam;cross_entropy False;1.139466643333435;0.7855217456817627;0.7634859681129456;61.0;83.0;84.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;No;100;32;1;1;1default;Adam;cross_entropy False;1.009122371673584;0.9068335890769958;1.3942216634750366;73.0;85.0;83.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;No;50;32;1;1;1default;Adam;cross_entropy False;1.1484341621398926;0.8656308054924011;0.7720457911491394;58.0;82.0;85.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;No;100;32;1;1;4AlexNet;Adam;cross_entropy False;1.18;1.16;1.3;56.0;74.0;73.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;No;100;32;1;1;4AlexNet;Adam;triplet_loss_2 False;0.61;0.51;0.65;80.0;80.0;77.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;Yes ;100;32;1;1;4AlexNet;Adam;triplet_loss_2 False;0.94;0.7;0.7;74.0;77.0;78.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;Yes ;100;32;1;1;1default;Adam;triplet_loss_2 False;0.67;0.5;0.54;80.0;83.0;84.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;No;100;32;1;1;1default;Adam;triplet_loss_2 False;0.58;0.46;0.56;79.0;83.0;81.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;True;100;32;1;1;4AlexNet;SGD;triplet_loss_1 False;0.43;0.33;0.3;75.0;77.0;79.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;True;100;32;1;1;4AlexNet;Adam;triplet_loss_1 False;0.4;0.33;0.32;76.0;77.0;77.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;;100;32;1;1;1default;Adam;cross_entropy True;1.21;0.74;0.82;61.0;85.0;85.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;autoencoder;100;32;1;1;1default;Adam;cross_entropy True;1.19;0.83;0.72;58.0;82.0;86.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;autoencoder;100;32;1;1;1default;Adam;triplet_loss True;0.56;0.36;0.39;78.0;83.0;83.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;autoencoder;100;32;1;1;1default;Adagrad;triplet_loss True;0.49;0.35;0.32;79.0;84.0;85.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;autoencoder;100;32;1;1;4AlexNet;Adagrad;triplet_loss True;0.75;0.28;0.3;76.0;83.0;83.0;;;;;;;;
ds_CASIA-WebFace.zip;;;True;28;No Specification;autoencoder;100;32;1;1;1default;Adagrad;triplet_loss True;1.83;1.73;1.7;55.0;57.0;57.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;;100;32;1;1;1default;Adam;ce_and_tl True;1.13;0.84;0.97;60.0;81.0;83.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;autoencoder;100;32;1;1;1default;Adagrad;ce_and_tl True;1.19;1.5;1.43;52.0;52.0;54.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;autoencoder;100;32;1;1;1default;Adam;ce_and_tl True;1.45;0.84;1.29;54.0;82.0;81.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;autoencoder;100;256;1;1;1default;Adam;ce_and_tl True ;1.22;1.6;1.88;60.0;63.0;71.0;;;;;;;;
ds_CASIA-WebFace.zip;;;True;28;No Specification;autoencoder;100;256;1;1;1default;Adam;cross_entropy True;1.37;1.35;1.36;55.0;57.0;56.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;autoencoder;100;32;1;1;1default;Adagrad;triplet_loss True;17.35;13.0;11.64;81.0;84.0;86.0;;;;;;;;
ds_0123456;;8788;True;28;No Specification;autoencoder;100;32;1;1;1default;Adam;constrastive_loss True;782207936.0;1.6035151414744503e+26;2.875994790576468e+26;81.63;80.52;80.68;;;;;;;;
ds_0123456;;8788;True;28;No Specification;autoencoder;100;32;1;1;4AlexNet;Adam;constrastive_loss True;127044.55;6.414234703161857e+26;1.3512768348742518e+27;79.49;79.57;79.34;;;;;;;;
ds_0123456;;8788;True;28;No Specification;autoencoder;100;32;1;1;1default;Adam;constrastive_loss True;0.03;0.02;0.06;33.33;83.77;83.63;;;;;;;;
ds_0123456;;8788;True;28;No Specification;;100;32;1;1;1default;Adam;cross_entropy_with_cl True;26404.37;42.61;44.01;56.86;83.17;84.88;;;;;;;;
ds_0123456;;8788;True;28;No Specification;;100;32;1;1;1default;Adam;cross_entropy True;50.45;61.15;87.3;50.94;83.51;82.12;;;;;;;;
ds_0123456;;8788;True;28;No Specification;;100;32;1;1;4AlexNet;Adam;cross_entropy_with_cl True;209969.52;101.64;83.69;42.89;79.68;81.19;;;;;;;;
ds_0123456;;8788;True;28;No Specification;autoencoder;100;32;1;1;4AlexNet;SGD;triplet_loss True;0.8;0.7;0.66;76.0;76.0;76.0;;;;;;;;
ds_0123456;;8788;False;28;No Specification;autoencoder;100;32;1;1;1default;Adagrad;triplet_loss True;12.13;9.39;8.2;83.0;86.0;86.0;;;;;;;;
ds_0123456;;8788;True;100;No Specification;;100;32;1;1;4AlexNet;Adam;triplet_loss True;19.2;7.18;8.46;79.8;83.62;86.14;;;;;;;;
ds_0123456;;8788;True;100;No Specification;autoencoder;100;32;1;1;4AlexNet;Adam;triplet_loss True;17.21;7.73;7.83;82.05;88.43;87.33;;;;;;;;
ds_0123456;;8788;True;(150, 200);No Specification;;100;32;1;1;1default;Adam;triplet_lossTrue;4.68;3.43;3.38;90.99;92.37;91.35;;;;;;;;
ds_0123456;;8788;True;(150, 200);No Specification;autoencoder;100;32;1;1;1default;Adam;cross_entropy_with_cl True;26129.8;67.31;105.49;85.73;77.61;77.84;;;;;;;;
ds_0123456 - ds_CASIA-WebFace1.zip;;;True;(150, 200);No Specification;autoencoder;100;32;1;1;1default;Adam;triplet_loss True;/;/;4.28;/;/;50, 23;;;;;;;;
"gbrieven; lfw;faceScrub;cfp";61 100;30273;True;(150, 200);all C1;autoencoder (100);100;32;1;ExpLR_0.001;4AlexNet;Adam;cross_entropy False;;;;53;59;59;59;5;;;55;;;
ds_gbrievencfplfwfaceScrub;26572;30273;True;(200, 150);gbrievencfplfwfaceScrub;autoencoder;100;32;1;(0.001, 'StepLR');4AlexNet;Adam;triplet_loss False;48.14068;15.90305;15.66504;54.15137;78.39721;81.62236;81.86312;76;;;9.22986;53242.6732609272;;
